Sumber,f,N,d,Vy,Ra
10.1016/j.cie.2006.06.018,0.2642,3000,0.4572,0.7907,2.4
10.1016/j.cie.2006.06.018,0.2642,3500,0.1524,0.8684,2.5
10.1016/j.cie.2006.06.018,0.1219,3500,0.3048,0.537,0.7
10.1016/j.cie.2006.06.018,0.2642,3000,0.4572,0.9725,2.5
10.1016/j.cie.2006.06.018,0.1524,3250,0.381,0.8063,0.8
10.1016/j.cie.2006.06.018,0.2286,2500,0.3048,0.6831,2.0
10.1016/j.cie.2006.06.018,0.2642,3000,0.3048,0.8418,2.5
10.1016/j.cie.2006.06.018,0.193,3000,0.3048,0.671,1.3
10.1016/j.cie.2006.06.018,0.0508,3250,0.381,0.3972,0.5
10.1016/j.cie.2006.06.018,0.1575,3500,0.3048,0.6808,0.9
10.1016/j.cie.2006.06.018,0.1778,2750,0.381,0.6007,1.2
10.1016/j.cie.2006.06.018,0.2997,3000,0.4572,1.0889,3.2
10.1016/j.cie.2006.06.018,0.127,2750,0.2286,0.4996,0.8
10.1016/j.cie.2006.06.018,0.2286,2500,0.4572,0.6066,1.9
10.1016/j.cie.2006.06.018,0.2997,3500,0.4572,1.1495,3.1
10.1016/j.cie.2006.06.018,0.0508,2750,0.381,0.2643,0.5
10.1016/j.cie.2006.06.018,0.193,3000,0.3048,0.8084,1.3
10.1016/j.cie.2006.06.018,0.1219,3500,0.1524,0.4987,0.8
10.1016/j.cie.2006.06.018,0.2286,3500,0.3048,0.9167,2.0
10.1016/j.cie.2006.06.018,0.2642,2500,0.4572,0.8351,2.5
10.1016/j.cie.2006.06.018,0.2997,3000,0.3048,0.9852,3.1
10.1016/j.cie.2006.06.018,0.2642,2500,0.3048,0.592,2.6
10.1016/j.cie.2006.06.018,0.193,3000,0.1524,0.5429,1.3
10.1016/j.cie.2006.06.018,0.1219,2500,0.4572,0.3954,0.7
10.1016/j.cie.2006.06.018,0.0508,2500,0.1524,0.2718,0.6
10.1016/j.cie.2006.06.018,0.2997,2500,0.4572,0.7239,3.2
10.1016/j.cie.2006.06.018,0.193,2500,0.1524,0.4089,1.4
