Source,depth of cut (mm),cutting speed (m/menit),feed (mm/rev),tool nose radius (mm),workpiece hardness (brinell),Ra (mikrometer)
doi.org/10.1016/S0924-0136(00)00835-9,1.25,202.63,0.08,0.4,257,0.848
doi.org/10.1016/S0924-0136(00)00835-9,1.25,202.63,0.2,0.4,257,3.111
doi.org/10.1016/S0924-0136(00)00835-9,1.25,202.63,0.32,0.4,257,8.279
doi.org/10.1016/S0924-0136(00)00835-9,0.8,202.63,0.08,0.4,257,1.065
doi.org/10.1016/S0924-0136(00)00835-9,0.8,202.63,0.2,0.4,257,3.154
doi.org/10.1016/S0924-0136(00)00835-9,0.8,202.63,0.32,0.4,257,7.568
doi.org/10.1016/S0924-0136(00)00835-9,0.35,202.63,0.08,0.4,257,1.087
doi.org/10.1016/S0924-0136(00)00835-9,0.35,202.63,0.2,0.4,257,2.813
doi.org/10.1016/S0924-0136(00)00835-9,0.35,202.63,0.32,0.4,257,7.004
doi.org/10.1016/S0924-0136(00)00835-9,1.25,121.58,0.08,0.4,257,0.715
doi.org/10.1016/S0924-0136(00)00835-9,1.25,121.58,0.2,0.4,257,3.794
doi.org/10.1016/S0924-0136(00)00835-9,1.25,121.58,0.32,0.4,257,9.489
doi.org/10.1016/S0924-0136(00)00835-9,0.8,121.58,0.08,0.4,257,0.838
doi.org/10.1016/S0924-0136(00)00835-9,0.8,121.58,0.2,0.4,257,3.63
doi.org/10.1016/S0924-0136(00)00835-9,0.8,121.58,0.32,0.4,257,8.503
doi.org/10.1016/S0924-0136(00)00835-9,0.35,121.58,0.08,0.4,257,0.775
doi.org/10.1016/S0924-0136(00)00835-9,0.35,121.58,0.2,0.4,257,3.341
doi.org/10.1016/S0924-0136(00)00835-9,0.35,121.58,0.32,0.4,257,7.943
doi.org/10.1016/S0924-0136(00)00835-9,1.25,86.12,0.08,0.4,257,0.727
doi.org/10.1016/S0924-0136(00)00835-9,1.25,86.12,0.2,0.4,257,3.466
doi.org/10.1016/S0924-0136(00)00835-9,1.25,86.12,0.32,0.4,257,9.031
doi.org/10.1016/S0924-0136(00)00835-9,0.8,86.12,0.08,0.4,257,0.858
doi.org/10.1016/S0924-0136(00)00835-9,0.8,86.12,0.2,0.4,257,3.247
doi.org/10.1016/S0924-0136(00)00835-9,0.8,86.12,0.32,0.4,257,8.115
doi.org/10.1016/S0924-0136(00)00835-9,0.35,86.12,0.08,0.4,257,0.9
doi.org/10.1016/S0924-0136(00)00835-9,0.35,86.12,0.2,0.4,257,3.055
doi.org/10.1016/S0924-0136(00)00835-9,0.35,86.12,0.32,0.4,257,7.555
doi.org/10.1016/S0924-0136(96)02818-X,0.5,36,0.15,0.4,275,1.8
doi.org/10.1016/S0924-0136(96)02818-X,0.5,117,0.15,0.4,275,1.233
doi.org/10.1016/S0924-0136(96)02818-X,0.5,36,0.4,0.4,275,5.3
doi.org/10.1016/S0924-0136(96)02818-X,0.5,117,0.4,0.4,275,5.067
doi.org/10.1016/S0924-0136(96)02818-X,1.125,36,0.15,0.4,275,2.133
doi.org/10.1016/S0924-0136(96)02818-X,1.125,117,0.15,0.4,275,1.45
