Sumber,f,N,d,Vy,Ra
10.1016/j.cie.2006.06.018,0.0508,2750,0.2286,0.2551,0.6
10.1016/j.cie.2006.06.018,0.0508,2750,0.3810,0.2643,0.5
10.1016/j.cie.2006.06.018,0.0508,3250,0.2286,0.3487,0.5
10.1016/j.cie.2006.06.018,0.0508,3250,0.3810,0.3972,0.5
10.1016/j.cie.2006.06.018,0.0762,2750,0.2286,0.2957,0.6
10.1016/j.cie.2006.06.018,0.0762,2750,0.3810,0.3229,0.6
10.1016/j.cie.2006.06.018,0.0762,3250,0.2286,0.6060,0.6
10.1016/j.cie.2006.06.018,0.0762,3250,0.3810,0.6359,0.6
10.1016/j.cie.2006.06.018,0.1016,2750,0.2286,0.3750,0.7
10.1016/j.cie.2006.06.018,0.1016,2750,0.3810,0.4377,0.7
10.1016/j.cie.2006.06.018,0.1016,3250,0.2286,0.5077,0.6
10.1016/j.cie.2006.06.018,0.1016,3250,0.3810,0.4918,0.5
10.1016/j.cie.2006.06.018,0.1270,2750,0.2286,0.4996,0.8
10.1016/j.cie.2006.06.018,0.1270,2750,0.3810,0.5776,0.8
10.1016/j.cie.2006.06.018,0.1270,3250,0.2286,0.7076,0.8
10.1016/j.cie.2006.06.018,0.1270,3250,0.3810,0.8125,0.8
10.1016/j.cie.2006.06.018,0.1524,2750,0.2286,0.5639,0.9
10.1016/j.cie.2006.06.018,0.1524,2750,0.3810,0.5959,0.9
10.1016/j.cie.2006.06.018,0.1524,3250,0.2286,0.7629,0.9
10.1016/j.cie.2006.06.018,0.1524,3250,0.3810,0.8063,0.8
10.1016/j.cie.2006.06.018,0.1778,2750,0.2286,0.4564,1.1
10.1016/j.cie.2006.06.018,0.1778,2750,0.3810,0.6007,1.2
10.1016/j.cie.2006.06.018,0.1778,3250,0.2286,0.7214,1.3
10.1016/j.cie.2006.06.018,0.1778,3250,0.3810,0.7283,1.2
10.1016/j.cie.2006.06.018,0.2032,2750,0.2286,0.5962,1.6
10.1016/j.cie.2006.06.018,0.2032,2750,0.3810,0.6368,1.5
10.1016/j.cie.2006.06.018,0.2032,3250,0.2286,0.7179,1.5
10.1016/j.cie.2006.06.018,0.2032,3250,0.3810,0.7264,1.6
